id,userid,giftscore,gifttype,giftstate,giftdate,paydate
105094861,169281913,128,licai_920_6_by_36792,0,2017-09-24 21:54:59.000,NULL
105094860,169281913,38,licai_niwodai_920,0,2017-09-24 21:54:59.000,NULL
105094857,169281913,38,licai_PPmoney_920,0,2017-09-24 21:54:59.000,NULL
103876236,169281913,10,licai_tongyong_10,0,2017-08-13 06:25:34.000,NULL
104396210,169281913,10,licai_tongyong_10,0,2017-09-03 10:07:28.000,NULL
103690007,169281913,10,licai_tongyong_10,1,2017-08-06 07:37:12.000,2017-08-11 13:44:05.177
104099940,169281913,10,licai_tongyong_10,1,2017-08-20 14:03:33.000,2017-08-24 23:29:03.897
104244407,169281913,10,licai_tongyong_10,1,2017-08-27 10:40:36.000,2017-09-01 19:32:34.637
105094858,169281913,38,licai_tuandai_920,0,2017-09-24 21:54:59.000,NULL
105094859,169281913,38,licai_yirencaifu_920,0,2017-09-24 20:25:12.000,NULL
103554354,170960074,10,borrow_story34651,0,2017-08-02 07:43:30.000,NULL
66257042,170960074,10,super_newuser_gift,0,2016-07-30 16:16:03.000,NULL
66257043,170960074,20,super_newuser_gift,0,2016-07-30 16:16:03.000,NULL
66257044,170960074,20,super_newuser_gift,0,2016-07-30 16:16:03.000,NULL
66257045,170960074,50,super_newuser_gift,0,2016-07-30 16:16:03.000,NULL
103486686,174472611,10,borrow_story34651,0,2017-07-31 19:47:57.000,NULL
81601868,180835834,10,super_gift1_25222,0,2016-12-05 15:42:26.000,NULL
81601869,180835834,20,super_gift1_25222,0,2016-12-05 15:42:26.000,NULL
81601870,180835834,20,super_gift1_25222,0,2016-12-05 15:42:26.000,NULL
81601871,180835834,50,super_gift1_25222,0,2016-12-05 15:42:26.000,NULL
81840905,180835834,0,super_rain_26819,0,2016-12-06 22:05:13.000,NULL
82986344,181359515,50,alipay_super_package_gift,0,2016-12-09 10:54:51.000,NULL
82986345,181359515,30,alipay_super_package_gift,0,2016-12-09 10:54:51.000,NULL
82986346,181359515,20,alipay_super_package_gift,0,2016-12-09 10:54:51.000,NULL
103511687,181359515,50,alipay_super_package_gift,0,2017-08-01 12:51:08.000,NULL
103511688,181359515,30,alipay_super_package_gift,0,2017-08-01 12:51:08.000,NULL
103511689,181359515,20,alipay_super_package_gift,0,2017-08-01 12:51:08.000,NULL
103511895,181359515,10,borrow_story34651,0,2017-08-01 12:55:53.000,NULL
103702573,182211966,10,borrow_story34651,0,2017-08-06 16:46:40.000,NULL
103712130,182324571,10,borrow_story34651,0,2017-08-07 00:54:39.000,NULL
103781386,182324571,5,cfdaka_0629,0,2017-08-10 00:18:47.000,NULL
103974022,182324571,5,cfdaka_0629,0,2017-08-17 00:04:17.000,NULL
91596133,182324571,2,jiguiren,1,2017-01-26 02:15:18.000,2017-03-10 18:11:55.603
103873508,182324571,10,licai_tongyong_10,0,2017-08-13 00:26:06.000,NULL
104082845,182324571,10,licai_tongyong_10,0,2017-08-20 00:11:48.000,NULL
104237172,182324571,10,licai_tongyong_10,0,2017-08-27 00:24:44.000,NULL
104389083,182324571,10,licai_tongyong_10,0,2017-09-03 00:44:40.000,NULL
104530596,182324571,10,licai_tongyong_10,0,2017-09-10 01:17:33.000,NULL
104668638,182324571,10,licai_tongyong_10,0,2017-09-17 00:02:44.000,NULL
105048533,182324571,10,licai_tongyong_10,0,2017-09-24 07:16:26.000,NULL
105269967,182324571,5,lilibao_new_5,0,2017-09-28 05:30:06.000,NULL
92266364,182324571,20,new_year_2017_licai_niwodai_20_28137,0,2017-02-01 14:47:49.000,2017-04-01 18:09:02.710
92179895,182324571,3,super_chunjie_gift,0,2017-02-01 09:16:17.000,NULL
92179989,182324571,1,super_chunjie_gift,0,2017-02-01 09:17:44.000,NULL
86430869,182324571,10,super_gift1_25222,0,2016-12-25 19:30:56.000,NULL
86430870,182324571,20,super_gift1_25222,0,2016-12-25 19:30:56.000,NULL
86430871,182324571,20,super_gift1_25222,0,2016-12-25 19:30:56.000,NULL
86430872,182324571,50,super_gift1_25222,0,2016-12-25 19:30:56.000,NULL
97625966,182324571,10,ua_fanli10,0,2017-05-01 07:09:06.000,NULL
97625965,182324571,25,ua_fanli25,0,2017-05-01 07:09:06.000,NULL
97625964,182324571,50,ua_fanli50,0,2017-05-01 07:09:06.000,NULL
92861021,182324571,0,yuanxiao2017_story_28753,1,2017-02-11 08:11:11.000,2017-03-16 11:17:46.043
103780622,183657104,10,borrow_story34651,0,2017-08-09 23:46:40.000,NULL
103388660,184520049,10,borrow_story34651,0,2017-07-29 14:46:39.000,NULL
